person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_clipped,income_loan_ratio,income_emp_length_ratio,loan_credit_hist_ratio
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,97000.0,3.2333333333333334,13857.142857142857,15000.0
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,120000.0,4.0,13333.333333333334,7500.0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,190376.8000000002,19.03768000000002,47594.20000000005,3333.3333333333335
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,190376.8000000002,9.51884000000001,inf,6666.666666666667
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,190376.8000000002,5.439337142857148,63458.9333333334,8750.0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,128000.0,4.266666666666667,14222.222222222223,7500.0
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,12000.0,6.857142857142857,6000.0,583.3333333333334
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,131000.0,4.366666666666666,inf,7500.0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,190376.8000000002,15.86473333333335,31729.4666666667,6000.0
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,190376.8000000002,19.03768000000002,inf,2500.0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,190376.8000000002,7.615072000000008,21152.9777777778,12500.0
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,70000.0,2.4054982817869415,11666.666666666666,9700.0
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,12000.0,8.0,1714.2857142857142,500.0
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,190376.8000000002,6.7991714285714355,19037.68000000002,9333.333333333334
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,190376.8000000002,9.51884000000001,21152.9777777778,10000.0
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,190376.8000000002,19.83091666666669,21152.9777777778,4800.0
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,190376.8000000002,7.615072000000008,95188.4000000001,6250.0
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,12000.0,4.0,inf,1000.0
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,56950.0,2.0339285714285715,9491.666666666666,14000.0
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,12000.0,4.0,2000.0,1000.0
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,65000.0,2.3214285714285716,32500.0,14000.0
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,85000.0,3.0357142857142856,42500.0,9333.333333333334
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,12000.0,1.9672131147540983,6000.0,2033.3333333333333
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,88000.0,3.142857142857143,14666.666666666666,9333.333333333334
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,12000.0,2.857142857142857,inf,1050.0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,12000.0,2.526315789473684,2000.0,2375.0
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,83004.0,2.9644285714285714,inf,7000.0
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,190376.8000000002,10.5764888888889,95188.4000000001,6000.0
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,100000.0,3.5714285714285716,20000.0,9333.333333333334
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,110000.0,3.9285714285714284,11000.0,14000.0
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,12000.0,4.444444444444445,inf,675.0
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,108000.0,3.857142857142857,18000.0,7000.0
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,151200.0,5.4,21600.0,14000.0
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,69000.0,2.5,34500.0,13800.0
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,12000.0,3.6923076923076925,2400.0,1083.3333333333333
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,70000.0,2.5454545454545454,17500.0,9166.666666666666
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,190376.8000000002,7.615072000000008,31729.4666666667,12500.0
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,73200.0,2.7060998151571165,14640.0,13525.0
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,83000.0,3.074074074074074,16600.0,13500.0
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,73399.0,2.7184814814814815,inf,9000.0
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,62500.0,2.4038461538461537,8928.57142857143,13000.0
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,120000.0,4.6875,120000.0,8533.333333333334
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,12360.0,7.725,6180.0,533.3333333333334
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,60000.0,2.355250245338567,inf,8491.666666666666
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,190376.8000000002,9.51884000000001,63458.9333333334,5000.0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,190376.8000000002,9.51884000000001,23797.100000000024,5000.0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,190376.8000000002,8.81374074074075,19037.68000000002,7200.0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,190376.8000000002,15.998050420168083,31729.4666666667,3966.6666666666665
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,190376.8000000002,7.615072000000008,inf,12500.0
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,190376.8000000002,5.439337142857148,38075.36000000004,8750.0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,83000.0,3.280632411067194,11857.142857142857,8433.333333333334
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,12600.0,6.3,3150.0,500.0
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,12600.0,7.2,4200.0,583.3333333333334
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,42500.0,1.7,14166.666666666666,8333.333333333334
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,41000.0,1.64,20500.0,8333.333333333334
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,12816.0,4.272,inf,750.0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,12960.0,3.5506849315068494,12960.0,1216.6666666666667
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,190376.8000000002,9.51884000000001,47594.20000000005,5000.0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,190376.8000000002,6.34589333333334,inf,15000.0
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,190376.8000000002,5.439337142857148,31729.4666666667,17500.0
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,190376.8000000002,31.7294666666667,inf,1500.0
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,12960.0,2.88,inf,1125.0
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,12996.0,5.415,inf,1200.0
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,42000.0,1.68,7000.0,12500.0
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,48000.0,1.92,24000.0,6250.0
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,12996.0,3.61,12996.0,1200.0
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,12996.0,2.736,12996.0,1583.3333333333333
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,42360.0,1.6944,42360.0,8333.333333333334
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,49000.0,1.96,12250.0,12500.0
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,190376.8000000002,7.615072000000008,inf,12500.0
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,190376.8000000002,63.4589333333334,190376.8000000002,750.0
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,190376.8000000002,25.38357333333336,23797.100000000024,3750.0
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,190376.8000000002,7.615072000000008,95188.4000000001,12500.0
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,49464.0,1.97856,9892.8,8333.333333333334
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,50000.0,2.0,50000.0,8333.333333333334
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,50000.0,2.0,12500.0,12500.0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,44000.0,1.76,22000.0,12500.0
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,50000.0,2.0,50000.0,6250.0
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,50004.0,2.00016,inf,12500.0
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,50004.0,2.00016,16668.0,8333.333333333334
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,52000.0,2.08,26000.0,6250.0
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,13200.0,2.6666666666666665,4400.0,1237.5
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,190376.8000000002,7.615072000000008,190376.8000000002,12500.0
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,190376.8000000002,9.065561904761914,38075.36000000004,7000.0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,190376.8000000002,7.615072000000008,95188.4000000001,8333.333333333334
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,190376.8000000002,9.51884000000001,19037.68000000002,10000.0
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,190376.8000000002,5.439337142857148,27196.68571428574,11666.666666666666
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,190376.8000000002,15.86473333333335,17306.981818181837,6000.0
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,52000.0,2.08,52000.0,12500.0
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,46000.0,1.84,23000.0,6250.0
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,53000.0,2.12,10600.0,6250.0
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,47000.0,1.88,inf,12500.0
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,47000.0,1.88,47000.0,12500.0
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,13200.0,9.428571428571429,6600.0,350.0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,13200.0,2.933333333333333,inf,1125.0
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,190376.8000000002,11.898550000000013,31729.4666666667,4000.0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,190376.8000000002,8.653490909090918,19037.68000000002,5500.0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,48000.0,1.92,9600.0,12500.0
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,54996.0,2.19984,9166.0,6250.0
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,55000.0,2.2,13750.0,6250.0
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,55000.0,2.2,13750.0,8333.333333333334
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,55000.0,2.2,13750.0,8333.333333333334
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,55164.0,2.20656,6895.5,6250.0
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,56000.0,2.24,14000.0,12500.0
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,190376.8000000002,9.51884000000001,23797.100000000024,6666.666666666667
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,190000.0,8.636363636363637,38000.0,7333.333333333333
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,13920.0,1.7961290322580645,6960.0,1937.5
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,60000.0,2.4,inf,8333.333333333334
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,60000.0,2.4,30000.0,8333.333333333334
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,54000.0,2.16,7714.285714285715,12500.0
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,14000.0,3.5,7000.0,1333.3333333333333
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,190376.8000000002,15.86473333333335,23797.100000000024,6000.0
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,190376.8000000002,15.86473333333335,23797.100000000024,6000.0
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,190376.8000000002,11.898550000000013,38075.36000000004,4000.0
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,54000.0,2.16,18000.0,6250.0
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,60000.0,2.4,20000.0,8333.333333333334
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,60000.0,2.4,8571.42857142857,6250.0
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,60000.0,2.4,10000.0,6250.0
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,61959.0,2.47836,6884.333333333333,12500.0
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,56400.0,2.256,28200.0,8333.333333333334
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,190376.8000000002,6.7991714285714355,27196.68571428574,14000.0
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,190376.8000000002,7.615072000000008,95188.4000000001,12500.0
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,190376.8000000002,7.932366666666675,63458.9333333334,6000.0
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,190376.8000000002,12.69178666666668,47594.20000000005,5000.0
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,190376.8000000002,12.2823741935484,95188.4000000001,7750.0
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,190376.8000000002,19.03768000000002,23797.100000000024,2500.0
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,66000.0,2.64,22000.0,12500.0
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,66000.0,2.64,11000.0,8333.333333333334
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,190376.8000000002,21.1529777777778,31729.4666666667,2250.0
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,190376.8000000002,10.5764888888889,38075.36000000004,6000.0
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,190376.8000000002,15.86473333333335,95188.4000000001,6000.0
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,190376.8000000002,8.259297180043392,21152.9777777778,7683.333333333333
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,190376.8000000002,9.51884000000001,23797.100000000024,6666.666666666667
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,60000.0,2.4,30000.0,12500.0
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,14400.0,4.8,inf,750.0
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,66996.0,2.67984,6699.6,12500.0
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,67000.0,2.68,22333.333333333332,6250.0
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,67000.0,2.68,33500.0,8333.333333333334
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,68000.0,2.72,13600.0,8333.333333333334
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,69000.0,2.76,7666.666666666667,12500.0
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,190376.8000000002,15.86473333333335,inf,4000.0
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,188000.0,9.4,18800.0,10000.0
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,190376.8000000002,63.4589333333334,47594.20000000005,1000.0
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,69996.0,2.79984,7777.333333333333,8333.333333333334
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,14400.0,3.6,7200.0,1333.3333333333333
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,70000.0,2.8,23333.333333333332,6250.0
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,14400.0,2.4,2880.0,2000.0
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,56100.0,2.244,8014.285714285715,6250.0
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,66000.0,2.64,7333.333333333333,12500.0
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,66000.0,2.64,22000.0,6250.0
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,14400.0,2.6790697674418604,2057.1428571428573,2687.5
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,72612.0,2.90448,8068.0,12500.0
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,74000.0,2.96,24666.666666666668,8333.333333333334
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,75000.0,3.0,8333.333333333334,12500.0
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,190376.8000000002,8.653490909090918,inf,11000.0
